date,state,district,enrolments,updates,update_type,age_group,gender,center_type
2022-03,Karnataka,Bangalore,21000,8000,Biometrics,46-60,Female,Urban
2022-04,Karnataka,Bangalore,20800,8200,Mobile,46-60,Male,Urban
2022-05,Karnataka,Bangalore,21200,8400,Address,46-60,Female,Urban
2022-06,Karnataka,Bangalore,21500,8600,Biometrics,46-60,Male,Urban
2022-07,Karnataka,Bangalore,21800,8800,Mobile,46-60,Female,Urban
2022-08,Karnataka,Bangalore,22200,9000,Address,46-60,Male,Urban
2022-09,Karnataka,Bangalore,22500,9200,Biometrics,46-60,Female,Urban
2022-10,Karnataka,Bangalore,22800,9400,Mobile,46-60,Male,Urban
2022-11,Karnataka,Bangalore,23200,9600,Address,46-60,Female,Urban
2022-12,Karnataka,Bangalore,23500,9800,Biometrics,46-60,Male,Urban
2023-01,Karnataka,Bangalore,23800,10000,Mobile,46-60,Female,Urban
2023-02,Karnataka,Bangalore,24200,10200,Address,46-60,Male,Urban
2023-03,Karnataka,Bangalore,24500,10400,Biometrics,46-60,Female,Urban

2022-01,Maharashtra,Pune,18000,6000,Biometrics,18-30,Female,Urban
2022-02,Maharashtra,Pune,18500,6200,Address,18-30,Male,Urban
2022-03,Maharashtra,Pune,19000,6400,Mobile,18-30,Female,Urban

2022-01,Assam,Guwahati,6000,1800,Mobile,61+,Male,Rural
2022-02,Assam,Guwahati,6500,2000,Address,61+,Female,Rural
2022-03,Assam,Guwahati,6800,2100,Biometrics,61+,Male,Rural
2022-04,Assam,Guwahati,6780,2200,Mobile,61+,Female,Rural
2022-05,Assam,Guwahati,7020,2300,Address,61+,Male,Rural
2022-06,Assam,Guwahati,7250,2400,Biometrics,61+,Female,Rural
2022-07,Assam,Guwahati,7480,2500,Mobile,61+,Male,Rural
2022-08,Assam,Guwahati,7720,2600,Address,61+,Female,Rural
2022-09,Assam,Guwahati,7950,2700,Biometrics,61+,Male,Rural
2022-10,Assam,Guwahati,8180,2800,Mobile,61+,Female,Rural
2022-11,Assam,Guwahati,8420,2900,Address,61+,Male,Rural
2022-12,Assam,Guwahati,8650,3000,Biometrics,61+,Female,Urban
2023-01,Assam,Guwahati,8880,3100,Mobile,61+,Male,Rural
2023-02,Assam,Guwahati,9120,3200,Address,61+,Female,Rural
2023-03,Assam,Guwahati,9350,3300,Biometrics,61+,Male,Rural
2022-01,Karnataka,Bangalore,22000,7800,Biometrics,31-45,Female,Urban
2022-02,Karnataka,Bangalore,22500,8000,Address,31-45,Male,Urban
2022-03,Karnataka,Bangalore,23000,8200,Mobile,31-45,Female,Urban
2022-01,Kerala,Thiruvananthapuram,10000,3500,Mobile,46-60,Male,Urban
2022-02,Kerala,Thiruvananthapuram,10500,3700,Address,46-60,Female,Urban
2022-03,Kerala,Thiruvananthapuram,11000,3900,Biometrics,46-60,Male,Urban
2023-01,Gujarat,Surat,14000,5000,Address,18-30,Female,Urban
2023-02,Gujarat,Surat,14500,5200,Mobile,18-30,Male,Urban
2023-03,Gujarat,Surat,15000,5400,Biometrics,18-30,Female,Urban
2023-01,Gujarat,Ahmedabad,17000,6000,Mobile,31-45,Male,Urban
2023-02,Gujarat,Ahmedabad,17500,6200,Address,31-45,Female,Urban
2023-03,Gujarat,Ahmedabad,18000,6400,Biometrics,31-45,Male,Urban
2023-01,Maharashtra,Mumbai,27000,9500,Address,46-60,Female,Urban
2023-02,Maharashtra,Mumbai,27500,9800,Mobile,46-60,Male,Urban
2023-03,Maharashtra,Mumbai,28000,10000,Biometrics,46-60,Female,Urban
2023-01,Maharashtra,Pune,20000,7000,Biometrics,18-30,Male,Urban
2023-02,Maharashtra,Pune,20500,7200,Address,18-30,Female,Urban
2023-03,Maharashtra,Pune,21000,7400,Mobile,18-30,Male,Urban
2023-01,Assam,Guwahati,7000,2200,Mobile,61+,Female,Rural
2023-02,Assam,Guwahati,7200,2400,Address,61+,Male,Rural
2023-03,Assam,Guwahati,7400,2600,Biometrics,61+,Female,Rural
2023-01,Karnataka,Bangalore,24000,8600,Biometrics,31-45,Male,Urban
2023-02,Karnataka,Bangalore,24500,8800,Address,31-45,Female,Urban
2023-03,Karnataka,Bangalore,25000,9000,Mobile,31-45,Male,Urban
2023-01,Kerala,Thiruvananthapuram,12000,4000,Mobile,46-60,Female,Urban
2023-02,Kerala,Thiruvananthapuram,12500,4200,Address,46-60,Male,Urban
2023-03,Kerala,Thiruvananthapuram,13000,4400,Biometrics,46-60,Female,Urban
